timestamp_ms,rss_bytes,process_cpu_time_s,minor_faults,major_faults,jitter_min_ns,jitter_avg_ns,jitter_max_ns,rt_loop_cpu_time_s,rx_bytes_per_s,tx_bytes_per_s,rt_nr_switches,rt_nr_voluntary_switches,rt_nr_involuntary_switches
1769774349191,22814720,49.760000,1541,0,341,777,5521 ,,923501.210,128961.807,200517,41857,158660
1769774350231,22814720,51.840000,1541,0,341,753,4389 ,,105943.596,113890.135,208734,43400,165334
1769774351270,22814720,53.930000,1541,0,352,749,5251 ,,105617.226,113494.084,216956,44942,172014
1769774352312,22814720,56.010000,1541,0,341,2376,854030 ,,105581.283,115429.108,225172,46489,178683
1769774353352,22814720,58.090000,1541,0,341,757,8085 ,,106433.470,114208.299,233473,48045,185428
1769774354394,22814720,60.170000,1541,0,341,1636,888865 ,,105736.271,113567.805,241636,49585,192051
1769774355434,22814720,62.250000,1541,0,351,964,190447 ,,105885.762,115487.107,249931,51136,198795
1769774356475,22822912,64.340000,1543,0,361,775,5019 ,,105763.033,114211.855,258164,52679,205485
1769774357517,22822912,66.420000,1543,0,331,2315,773659 ,,105501.756,113684.489,266577,54224,212353
1769774358559,22822912,68.510000,1543,0,351,801,6753 ,,105866.497,113607.282,274956,55765,219192
1769774359602,22822912,70.600000,1543,0,351,2776,1823605 ,,106033.797,115406.902,283214,57320,225894
1769774360643,22822912,72.690000,1543,0,371,779,4088 ,,105812.423,114219.385,291551,58873,232678
1769774361685,22822912,74.770000,1543,0,361,788,5260 ,,105661.835,113712.206,299848,60428,239420
1769774362729,22822912,76.860000,1543,0,351,812,20138 ,,106062.733,115436.485,308012,61968,246044
1769774363772,22831104,78.960000,1545,0,361,1629,898362 ,,105688.429,114169.031,316347,63515,252832
1769774364814,22831104,81.050000,1545,0,341,778,4479 ,,105623.828,113774.289,324662,65072,259590
1769774365855,22827008,83.130000,1545,0,331,736,4459 ,,105819.295,113514.789,332962,66622,266340
1769774366897,22827008,85.220000,1545,0,351,773,19047 ,,105601.371,115645.673,341289,68178,273111
1769774367939,22827008,87.310000,1545,0,351,774,6092 ,,105787.084,114177.518,349552,69719,279833
1769774368987,22827008,89.380000,1545,0,361,3132,1630533 ,,105429.538,113329.978,357901,71270,286631
1769774370029,22827008,91.480000,1545,0,341,2546,1593253 ,,105238.553,114816.508,366300,72824,293476
1769774371077,22835200,93.570000,1547,0,361,6985,1731883 ,,921086.717,127875.495,374482,74378,300104
1769774372120,22835200,95.660000,1547,0,371,3115,766305 ,,105583.485,113351.599,382703,75929,306774
1769774373178,22831104,97.740000,1547,0,351,2926,1447831 ,,105236.480,112744.454,391086,77498,313588
1769774374234,22831104,99.870000,1547,0,361,1740,948856 ,,105889.077,115678.686,399524,79083,320441
1769774375290,22831104,101.990000,1547,0,351,829,14097 ,,105768.788,113673.655,407865,80651,327214
1769774376347,22831104,104.120000,1547,0,351,839,5671 ,,105808.241,113807.411,416305,82219,334086
1769774377403,22831104,106.250000,1547,0,371,837,3727 ,,105802.251,115634.766,424776,83798,340978
1769774378460,22843392,108.380000,1550,0,341,5004,1973926 ,,105352.261,113105.516,433024,85369,347655
1769774379516,22843392,110.510000,1550,0,371,843,7815 ,,105782.306,114061.514,441396,86950,354446
1769774380574,22831104,112.640000,1550,0,372,2837,1232077 ,,105652.695,113231.733,449807,88534,361273
1769774381631,22831104,114.780000,1550,0,341,38390,2660602 ,,102736.976,115138.812,457874,90052,367822
1769774382687,22831104,116.850000,1550,0,362,13407,2557158 ,,104816.426,112406.333,466236,91604,374632
1769774383744,22831104,118.960000,1550,0,361,844,5290 ,,105623.448,113649.005,474692,93190,381502
1769774384800,22831104,121.100000,1550,0,351,866,6242 ,,106850.776,115514.608,483136,94759,388377
1769774385856,22855680,123.220000,1556,0,331,816,6022 ,,105719.934,113720.095,491529,96332,395197
1769774386912,22855680,125.340000,1556,0,351,824,6152 ,,106225.125,113537.347,499866,97892,401974
1769774387969,22831104,127.480000,1556,0,371,839,6212 ,,106079.609,113839.038,508295,99475,408820
1769774389010,22831104,129.620000,1556,0,351,819,6453 ,,105692.862,115295.893,516617,101028,415589
1769774390092,22831104,131.700000,1556,0,381,9080,1398830 ,,104229.956,112053.162,525083,102606,422477
1769774391138,22831104,133.850000,1556,0,351,810,56466 ,,105132.980,112739.500,533461,104157,429304
1769774392180,22831104,135.940000,1556,0,331,756,3447 ,,105726.463,115335.691,541581,105707,435874
1769774393222,22847488,138.030000,1560,0,341,2552,993781 ,,1214034.703,133300.017,549901,107251,442650
1769774394265,22847488,140.100000,1560,0,351,800,11893 ,,105796.112,113945.189,558243,108803,449440
1769774395308,22831104,142.190000,1560,0,361,1848,1082267 ,,105728.032,113355.140,566571,110356,456215
1769774396348,22831104,144.290000,1560,0,341,759,4729 ,,105875.241,115829.225,574825,111905,462920
1769774397389,22831104,146.370000,1560,0,351,775,6183 ,,105822.838,113997.713,583122,113465,469657
1769774398430,22831104,148.450000,1560,0,351,778,4990 ,,105834.529,113642.183,591473,115005,476468
1769774399473,22831104,150.530000,1560,0,361,788,13576 ,,105681.008,115461.813,599757,116558,483199
1769774400514,22851584,152.630000,1565,0,371,2087,1356860 ,,105844.599,114170.470,608027,118102,489925
1769774401555,22851584,154.710000,1565,0,351,774,15089 ,,105756.078,114006.443,616229,119630,496599
1769774402597,22831104,156.790000,1565,0,342,796,14778 ,,105766.190,113340.043,624462,121184,503278
1769774403638,22831104,158.880000,1565,0,351,807,7104 ,,105516.494,115284.228,632723,122744,509979
1769774404680,22831104,160.950000,1565,0,322,1106,315110 ,,106189.324,114160.555,641039,124303,516736
1769774405722,22831104,163.040000,1565,0,311,805,23675 ,,105789.969,113755.784,649378,125852,523526
1769774406765,22831104,165.120000,1565,0,351,1093,251462 ,,105920.491,115481.639,657685,127406,530279
1769774407805,22859776,167.220000,1572,0,351,764,5742 ,,105835.944,114048.712,665908,128958,536950
1769774408849,22859776,169.290000,1572,0,381,900,38583 ,,105638.236,113813.638,674191,130511,543680
1769774409891,22835200,171.390000,1572,0,341,794,5020 ,,105898.948,113526.237,682500,132066,550434
1769774410932,22835200,173.470000,1572,0,341,1745,242745 ,,106224.740,115864.425,690789,133617,557172
1769774411974,22835200,175.550000,1572,0,371,2376,886139 ,,105648.484,114064.273,699039,135167,563872
1769774413015,22835200,177.630000,1572,0,341,766,5731 ,,105710.157,113601.641,707224,136708,570516
1769774414057,22835200,179.720000,1572,0,361,2756,1031992 ,,105569.661,115327.814,715414,138251,577163
1769774415098,22859776,181.800000,1578,0,371,860,82895 ,,105660.453,113638.958,723626,139797,583829
1769774416141,22859776,183.890000,1578,0,341,1110,322504 ,,900507.148,128038.508,731786,141354,590432
1769774417182,22835200,185.970000,1578,0,342,2737,2001829 ,,105851.209,113506.851,740004,142899,597105
1769774418225,22835200,188.060000,1578,0,351,791,6182 ,,105704.470,115537.311,748348,144449,603899
1769774419266,22835200,190.150000,1578,0,362,775,5180 ,,105704.106,114261.526,756560,146005,610555
1769774420308,22835200,192.230000,1578,0,361,786,20780 ,,105934.349,113594.914,764780,147549,617231
1769774421353,22835200,194.310000,1578,0,361,3173,1451779 ,,106428.233,118666.049,773069,149102,623967
1769774422396,22859776,196.410000,1584,0,331,2186,994793 ,,105674.242,113936.300,781252,150652,630600
1769774423440,22859776,198.490000,1584,0,341,3957,3049430 ,,105716.976,113537.644,789417,152198,637219
1769774424483,22835200,200.580000,1584,0,381,784,3257 ,,105682.894,113323.037,797684,153735,643949
1769774425524,22835200,202.670000,1584,0,351,800,22533 ,,105831.946,115449.363,805829,155286,650543
1769774426565,22835200,204.750000,1584,0,351,780,5972 ,,105830.406,114152.484,814037,156825,657212
1769774427606,22835200,206.830000,1584,0,341,825,21391 ,,105663.055,113587.064,822196,158363,663833
1769774428648,22835200,208.930000,1584,0,361,790,5301 ,,105837.438,115408.560,830404,159911,670493
1769774429689,22855680,211.010000,1589,0,341,809,4860 ,,108417.845,113797.008,838581,161451,677130
1769774430731,22855680,213.090000,1589,0,331,765,6793 ,,106160.150,114342.996,846964,163000,683964
1769774431777,22835200,215.190000,1589,0,331,809,5882 ,,105591.336,113473.312,855279,164557,690722
1769774432817,22835200,217.290000,1589,0,351,792,5421 ,,105856.961,115535.565,863448,166117,697331
1769774433858,22835200,219.370000,1589,0,351,3262,875580 ,,105691.498,113829.594,871625,167669,703956
1769774434901,22835200,221.450000,1589,0,361,827,47820 ,,105598.550,113507.081,879931,169212,710719
1769774435946,22835200,223.540000,1589,0,362,5534,1659257 ,,731089.070,126574.506,888194,170760,717434
1769774436993,22859776,225.630000,1595,0,371,1456,619611 ,,105612.569,113901.677,896506,172313,724193
1769774438037,22859776,227.710000,1595,0,652,2873,1182415 ,,104724.860,112515.959,904687,173845,730842
1769774439080,22835200,229.790000,1595,0,642,4139,1575730 ,,105236.111,112916.865,912913,175409,737504
1769774440127,22835200,231.870000,1595,0,391,3665,1190720 ,,105400.232,115599.515,921317,176962,744355
1769774441168,22835200,233.960000,1595,0,651,1323,127479 ,,104573.566,112399.451,929439,178504,750935
1769774442210,22835200,236.030000,1595,0,631,1190,6883 ,,105741.504,113547.537,937750,180055,757695
1769774443251,22835200,238.100000,1595,0,602,1517,271328 ,,105763.761,115508.015,945953,181619,764334
1769774444300,22863872,240.190000,1602,0,371,2537,1423005 ,,105502.838,113681.545,954305,183175,771130
1769774445341,22863872,242.280000,1602,0,331,746,4168 ,,105908.505,113912.794,962661,184727,777934
1769774446386,22835200,244.370000,1602,0,351,10399,3334333 ,,104721.590,112364.817,970784,186291,784493
1769774447438,22835200,246.460000,1602,0,642,6518,1874941 ,,104729.631,114878.860,978861,187844,791017
1769774448481,22835200,248.550000,1602,0,621,1278,91352 ,,105798.062,113718.198,987137,189405,797732
1769774449523,22835200,250.640000,1602,0,392,2256,775392 ,,105142.918,112932.278,995605,190975,804630
1769774450566,22835200,252.710000,1602,0,392,2457,400711 ,,105835.388,115929.065,1004120,192516,811604
1769774451609,22863872,254.790000,1609,0,331,17409,2518466 ,,103565.206,111434.629,1012395,194031,818364
1769774452651,22863872,256.850000,1609,0,342,789,8407 ,,106018.700,113836.384,1020753,195599,825154
1769774453698,22835200,258.940000,1609,0,351,771,5160 ,,832200.418,127620.865,1029108,197147,831961
1769774454741,22835200,261.040000,1609,0,342,765,4679 ,,105882.099,115556.216,1037501,198709,838792
1769774455783,22835200,263.130000,1609,0,371,802,5902 ,,105685.045,113797.383,1045739,200264,845475
1769774456839,22835200,265.220000,1609,0,352,853,4809 ,,105921.444,113908.960,1054173,201823,852350
1769774457895,22835200,267.350000,1609,0,371,836,5160 ,,105810.239,115444.673,1062741,203401,859340
1769774458951,22867968,269.480000,1617,0,352,806,5500 ,,106011.997,114098.380,1071075,204983,866092
1769774460008,22867968,271.600000,1617,0,352,861,5030 ,,105796.157,113588.096,1079448,206550,872898
1769774461050,22835200,273.730000,1617,0,371,986,173004 ,,106215.543,116613.193,1087723,208089,879634
1769774462091,22835200,275.820000,1617,0,371,1146,348243 ,,105636.223,115795.583,1095996,209625,886372
1769774463132,22835200,277.920000,1617,0,351,776,4489 ,,106417.265,113838.286,1104238,211185,893053
1769774464174,22835200,280.000000,1617,0,351,1515,730408 ,,107399.747,115009.301,1112348,212738,899610
1769774465216,22835200,282.080000,1617,0,341,773,23815 ,,105597.979,115835.527,1120637,214288,906349
1769774466257,22863872,284.170000,1624,0,351,768,4689 ,,105761.418,113564.498,1128894,215830,913064
1769774467299,22863872,286.250000,1624,0,361,789,11422 ,,105633.893,113903.698,1137052,217360,919692
1769774468344,22835200,288.340000,1624,0,371,1459,398196 ,,105855.311,113328.711,1145311,218913,926398
1769774469387,22835200,290.440000,1624,0,351,942,123982 ,,105613.707,115789.643,1153538,220460,933078
1769774470428,22835200,292.520000,1624,0,351,945,118312 ,,106299.839,114355.999,1161836,222012,939824
1769774471472,22835200,294.610000,1624,0,341,2504,917639 ,,105529.715,113478.667,1170133,223564,946569
1769774472516,22835200,296.700000,1624,0,351,1510,742772 ,,105675.609,115703.208,1178326,225117,953209
1769774473558,22867968,298.800000,1632,0,371,2480,987990 ,,105180.887,113081.402,1186444,226681,959763
1769774474600,22867968,300.870000,1632,0,331,1977,1182294 ,,105772.872,113717.541,1194696,228225,966471
1769774475642,22835200,302.960000,1632,0,361,1114,341310 ,,105745.682,113448.781,1203068,229784,973284
1769774476688,22835200,305.050000,1632,0,361,7750,2280641 ,,447599.993,123220.262,1211306,231330,979976
1769774477729,22835200,307.140000,1632,0,322,2476,1239541 ,,586698.845,119841.192,1219498,232888,986610
1769774478771,22835200,309.220000,1632,0,342,2857,1110640 ,,105472.213,113309.122,1227735,234445,993290
1769774479814,22835200,311.300000,1632,0,372,1740,952424 ,,105543.529,115666.058,1236014,235989,1000025
1769774480855,22867968,313.390000,1640,0,342,766,4660 ,,105790.027,113564.072,1244278,237541,1006737
1769774481897,22867968,315.470000,1640,0,331,780,5361 ,,105898.781,113807.262,1252587,239084,1013503
1769774482944,22835200,317.570000,1640,0,351,1821,843880 ,,105822.741,113802.221,1260880,240635,1020245
1769774483987,22835200,319.660000,1640,0,351,5688,1982652 ,,105178.036,114917.986,1269192,242167,1027025
1769774485031,22835200,321.750000,1640,0,342,6168,2360700 ,,104942.779,112806.882,1277345,243718,1033627
1769774486075,22835200,323.830000,1640,0,351,3601,1215466 ,,105375.068,113422.185,1285554,245279,1040275
1769774487118,22835200,325.910000,1640,0,361,3094,980677 ,,105475.877,115266.984,1293814,246830,1046984
1769774488161,22859776,328.010000,1646,0,351,1286,78547 ,,105847.416,113219.277,1302311,248384,1053927
1769774489204,22859776,330.080000,1646,0,321,2895,2051852 ,,105565.196,113647.375,1310700,249949,1060751
1769774490246,22835200,332.180000,1646,0,341,797,26581 ,,105759.739,113923.871,1318889,251499,1067390
1769774491288,22835200,334.260000,1646,0,351,976,207769 ,,105628.334,115480.347,1327049,253041,1074008
1769774492331,22835200,336.350000,1646,0,341,764,3678 ,,105853.585,113773.035,1335315,254592,1080723
